NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.002471949,0.15796856655694846,0.0,1,0.4712839849667955
200,0.005621940000000001,0.1503740545219002,0.0,2,0.3747933933708435
300,0.007323659000000001,0.13990539266306004,0.0030963586034772877,3,0.3437368856656344
400,0.008985609,0.15704247584866973,0.020982891805454644,4,0.2783805538372744
500,0.010604596,0.1262661685517165,0.020982891805454644,5,0.25444892003383357
600,0.012506468000000001,0.12298492642970735,0.03206021305886038,6,0.2140609585081273
700,0.014488684000000002,0.11455524854692341,0.05036440205427692,7,0.18250504192857767
800,0.016482484000000002,0.09595354499478849,0.05097534066326409,8,0.1789574734605659
900,0.018221513,0.0463247476356417,0.05150525971051858,9,0.17572949108417654
1000,0.019923096,0.041548944008464504,0.059038575940586306,10,0.15254477861534577
1100,0.021972191000000002,0.03415092059964342,0.06358792463332527,11,0.1392532734683221
1200,0.023933101000000002,0.029244762874410808,0.06950383401272736,12,0.1311103902186997
1300,0.025940259,0.025968517676941413,0.08259025014734933,13,0.11383128062737956
1400,0.028008088,0.025854671014003655,0.09555736410518648,14,0.10368718420921114
1500,0.030295322000000003,0.02056333231726129,0.1125448292615809,15,0.08788557330486718
1600,0.032469014000000004,0.01925834457892459,0.12133180524684989,16,0.07787291661049275
1700,0.034647641,0.015432751480851277,0.13050513866335917,17,0.06948970650113138
1800,0.036931049,0.013333453697073243,0.13436354349087973,18,0.06260809624711798
1900,0.039461364000000006,0.011747310281325732,0.14130750380964627,19,0.056664730950387904
2000,0.041679348000000005,0.009834716654589877,0.145532677591023,20,0.05294536351281302
2100,0.043922659,0.008362924417780238,0.1521342459072055,21,0.04518784079339996
2200,0.046511224000000004,0.006712733782902695,0.16005102171890495,22,0.04007909802885358
2300,0.049146074000000005,0.006170691704648733,0.166127363045103,23,0.035893065501391104
2400,0.051949793,0.005145604865853365,0.16919990801038753,24,0.032578208160089606
2500,0.055210915000000006,0.004698359683261328,0.17461612751355207,25,0.029557543106509487
2600,0.058764234000000005,0.004030706938290628,0.1789090354944061,26,0.02482709258055902
2700,0.062259044000000006,0.003455256027066598,0.1816010164944043,27,0.022874435830867405
2800,0.06609287700000001,0.003012604121391809,0.1846611166765418,28,0.020758558244569115
2900,0.07080183500000001,0.0026542653852139725,0.18722248409324355,29,0.019095666858158705
3000,0.075443326,0.002381074109820113,0.18936845524723514,30,0.017896368533432752
3100,0.080291626,0.002159650159486456,0.1910629311203383,31,0.016486807147132077
3200,0.08554737200000001,0.0020662531306321705,0.19423853782032652,32,0.013917342015505206
3300,0.089969517,0.001836588298225019,0.19584252275847294,33,0.01268209341467452
3400,0.094356877,0.0017231765335887648,0.19657101988897904,34,0.012284258179571628
3500,0.098887763,0.001255443428154203,0.19767351756922433,35,0.011531803660098136
3600,0.10384947300000001,0.0011849332509889909,0.19881423094107376,36,0.010588735887711108
3700,0.10920666700000001,0.0011527211410248895,0.19960037274016204,37,0.01012565671039294
3800,0.11449466000000001,0.0010969482259147838,0.20031415376773126,38,0.009666025731230238
3900,0.119228497,0.0010624824184698727,0.2011267601283811,39,0.009132239017944554
4000,0.12413737700000001,9.192265530366656E-4,0.2014295038306064,40,0.008892748129585078
4100,0.12924359100000002,8.968573284131911E-4,0.20192520718470633,41,0.008612398255545413
4200,0.13416594,8.357226974896736E-4,0.20264316938908125,42,0.008029907203786596
4300,0.13960118000000002,8.113557081531065E-4,0.20313575451204813,43,0.007587046793729385
4400,0.14441532,7.807527545248839E-4,0.20344678677386924,44,0.007415067347610416
4500,0.149443996,7.474151425504679E-4,0.2037490394630537,45,0.007053143700362925
4600,0.154355815,7.453559723811366E-4,0.20408097626842223,46,0.006979100491510887
4700,0.15970264,7.192278228406171E-4,0.20443810753121328,47,0.006820191662191808
4800,0.165136053,8.12499769724338E-4,0.20461341542821554,48,0.0067686248288935024
4900,0.17076412200000002,7.986233460274966E-4,0.2048477603625185,49,0.006504441887867327
5000,0.176205039,7.630104328193241E-4,0.2052345920649112,50,0.006349115146868031
5100,0.181359014,7.125214273618114E-4,0.20573336042018406,51,0.005983224081801977
5200,0.186573983,6.918051812833959E-4,0.20590152344903995,52,0.005789569863997356
5300,0.19160238400000001,6.903161986568664E-4,0.20600505479614192,53,0.005719540890699541
5400,0.196957279,7.001266073064788E-4,0.2062422239031182,54,0.0058701535963351596
5500,0.202628988,6.988515219667627E-4,0.2066158488925566,55,0.005425148246076855
5600,0.20790723100000003,7.319787108264127E-4,0.20676421608120008,56,0.005780400981274463
5700,0.21316774800000002,7.883157400826854E-4,0.20676294170328358,57,0.005842978979312679
