NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.001845756,0.20142097938519402,0.0,1,0.5246525744269058
200,0.004053157,0.18406008817369093,0.0,2,0.5193346851490492
300,0.006237739,0.16178629660817961,0.0,3,0.41240088687524223
400,0.008496286,0.1621991057547971,0.00500981961707243,4,0.3290439984243307
500,0.010162819,0.13190705583187953,0.00500981961707243,5,0.3035465469924967
600,0.011219623000000001,0.09883971898711086,0.014874150791723459,6,0.26201210774296185
700,0.012209330000000001,0.08021824445868629,0.016558855040774718,7,0.22379793078442026
800,0.013179161,0.06648392194398803,0.0571603769310519,8,0.17441859752992733
900,0.014187362,0.04746401278948971,0.06363037240746815,9,0.19044368990138977
1000,0.015147797000000001,0.034469820299066,0.06901456711509193,10,0.13935328510327638
1100,0.016180364000000003,0.029384277983906446,0.07420165785971371,11,0.13337228200611384
1200,0.017480222,0.024106812968149077,0.0784028703520537,12,0.12237862351497102
1300,0.018798182,0.023846235543554896,0.08834489826215679,13,0.11040464579556017
1400,0.020055358000000002,0.020582178462754078,0.09469470636400489,14,0.1013584828402817
1500,0.021388324,0.01600269623161064,0.11608679480616853,15,0.07838032532442181
1600,0.022958847,0.011268487890132751,0.12368343202169646,16,0.07191761430472754
1700,0.024428202000000003,0.010772030629407583,0.1294773222335454,17,0.06689899063013197
1800,0.025945640000000002,0.009602006296387747,0.13350804931010032,18,0.06366596821669314
1900,0.027590653000000003,0.008194013779674226,0.14763413618095428,19,0.05106953589583636
2000,0.029304126000000003,0.006962881300337968,0.1535872873934576,20,0.05045072275361781
2100,0.030951619000000003,0.005728731443018483,0.16070829534990058,21,0.038678914738290555
2200,0.032755419,0.0046772505868901935,0.16571394206629825,22,0.03448408322619171
2300,0.034888723,0.003928148425880751,0.17001404979306162,23,0.032348858437000104
2400,0.037089056,0.003426118599729052,0.17448948255618169,24,0.02885868127240654
2500,0.039675062000000004,0.0030296766910922006,0.17927049093774597,25,0.025280093135328027
2600,0.042412965000000004,0.0022650615715515787,0.18320186620741113,26,0.022087240863600654
