NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.002657458,0.21753231104104112,0.0,1,0.45066317257040067
200,0.004855538,0.18401440194065136,0.0,2,0.4481621365051523
300,0.006752636,0.13812591553319406,0.0,3,0.3712331927233935
400,0.008331907000000001,0.10795344987897376,0.0,4,0.33121705559926556
500,0.009290202000000001,0.09221169764335295,0.0031051045268429486,5,0.3033967188562212
600,0.010181114,0.08492050904773493,0.029611909845685357,6,0.2219207548123597
700,0.011469459000000001,0.07005419507308529,0.031165397396315058,7,0.20636993414499946
800,0.012802963,0.05728892710740653,0.03290254119759933,8,0.19036027511627135
900,0.014028365000000001,0.046294114202667346,0.05562957747891344,9,0.15953031381631
1000,0.015184219,0.03050928244815799,0.08127856704028158,10,0.12341606479830897
1100,0.016265365,0.03551142017637679,0.09325905839852532,11,0.11221438499844885
1200,0.017466395000000003,0.02635863085917234,0.09584407238406067,12,0.10894922089504849
1300,0.018590188,0.017345487995343554,0.10022663903246587,13,0.10172268118167871
1400,0.019897283,0.014535292325490947,0.11991230900071262,14,0.08262544202271398
1500,0.021433643000000002,0.01374281739061498,0.13527001603720595,15,0.06391122123108756
1600,0.022841227000000002,0.011565559069687738,0.14762720804050036,16,0.056329337452029414
1700,0.024291664,0.007587804612194007,0.15769550559612844,17,0.04730091418364166
1800,0.025926482,0.0060915352536821095,0.1633467072495641,18,0.041072327379609704
1900,0.027759507000000003,0.005050211633514114,0.16787760469511245,19,0.03519950417081572
2000,0.029757357,0.004290033621702067,0.17363097838806446,20,0.03127092247675599
2100,0.031867918,0.0036246558120905967,0.17781909440979038,21,0.027930025417118507
2200,0.034122952000000005,0.0032650464720922283,0.18294770208746516,22,0.024944999689488774
2300,0.036503287,0.0027076619382292283,0.1856742344779206,23,0.02281794433603238
2400,0.039044624,0.002034875453063597,0.18901685969254048,24,0.020154431750593223
2500,0.04214492,0.0017890640349363792,0.19147983969432017,25,0.017073432262553725
2600,0.04540737,0.0015179959842223935,0.1936418463338783,26,0.01566073136347797
2700,0.048736618,0.001287605144627705,0.19520333910592308,27,0.01424391630201022
2800,0.052122686,0.001157342037547338,0.19722254196756048,28,0.012116024623806667
2900,0.05555525,0.0010734575252522233,0.1986522031249595,29,0.011424997660081917
3000,0.059022347,0.0010114491103409198,0.19996254070155328,30,0.010697955605460097
3100,0.06254074400000001,8.797937681012469E-4,0.2012989796485672,31,0.009276466490696668
3200,0.066127341,8.391330013306348E-4,0.2021542497436385,32,0.008994320647541519
3300,0.069768798,8.106205432665452E-4,0.20318605878877888,33,0.008322730075585929
3400,0.073485115,7.393808182958274E-4,0.2039472790180024,34,0.007678622432666046
3500,0.07719724900000001,7.118472560313446E-4,0.20448275138749678,35,0.006733170856211192
3600,0.080956832,7.13629371453918E-4,0.20491113514055853,36,0.006032451048603848
3700,0.08497837500000001,6.725434450154028E-4,0.20531798609227214,37,0.005693113992446136
3800,0.08911590600000001,8.372281894650468E-4,0.20582858730057743,38,0.005393487812987957
3900,0.093098676,8.962516892840162E-4,0.20606283636223804,39,0.005319609676940195
4000,0.09722329,8.696890934193312E-4,0.20632471135338729,40,0.0052102521700989265
4100,0.10124854400000001,8.33636946582545E-4,0.20640532918825066,41,0.005191521222164303
4200,0.10523902700000001,8.303919915645075E-4,0.20662688949708924,42,0.005175633212986223
4300,0.10934116,8.060261305288753E-4,0.20702994806245448,43,0.004862742076318842
4400,0.113456177,7.78235518883828E-4,0.2072537089929651,44,0.004831573954252809
4500,0.11764561000000001,7.954186314964315E-4,0.2072520452551862,45,0.0048519981242606215
4600,0.121704323,8.074819253948533E-4,0.20740545046573503,46,0.004827438781207509
4700,0.125817486,8.149139018903844E-4,0.20754519756341872,47,0.004731543802816714
4800,0.12997146,7.48841649784212E-4,0.20754348615253235,48,0.004814112337196515
4900,0.134662003,7.899279851144631E-4,0.20760518545185985,49,0.00499255801167177
5000,0.13888165,7.937216903063606E-4,0.20783640410099416,50,0.004899107021057199
5100,0.143293701,7.995579045192112E-4,0.20796075082884155,51,0.004728168156092954
5200,0.147569038,8.277478408016903E-4,0.2080901513873243,52,0.004664041751148704
5300,0.15196536100000002,8.898207664083843E-4,0.20815451484080974,53,0.004579534393862071
5400,0.15633041,8.390953825292077E-4,0.20826843157084396,54,0.004650227020481662
5500,0.161487087,8.439341251874458E-4,0.20835287429383134,55,0.004441289089077891
5600,0.165812445,8.889161374228162E-4,0.20843072522377198,56,0.004316757361845612
5700,0.170165128,8.885484242337628E-4,0.2085247864670592,57,0.00422886394154171
5800,0.174582593,8.507898958321434E-4,0.20858695929526755,58,0.004231544090170199
5900,0.179032352,8.431102758876853E-4,0.20866614360123023,59,0.00424913699647588
6000,0.18353475000000002,8.278584881729574E-4,0.20893995383908318,60,0.003964209411347283
6100,0.18803750400000002,8.008075617484269E-4,0.20891334794867744,61,0.004038419082178715
6200,0.19273984400000002,7.998146070802864E-4,0.2089692441972254,62,0.004035962406883465
6300,0.19723285200000001,8.136251065771941E-4,0.20912190530036126,63,0.003784929588909844
6400,0.201859389,8.085107729919515E-4,0.2091427668387391,64,0.003848694819890875
6500,0.20633447900000002,8.356376028255443E-4,0.20912387993728582,65,0.003690824410535483
6600,0.21076888500000002,8.326451480106635E-4,0.20915160867882296,66,0.0036804046689085644
6700,0.21547506200000002,8.188557050054711E-4,0.2091612747952083,67,0.0036563608961361145
6800,0.22005612900000002,8.216397776611053E-4,0.2092440653326983,68,0.0038489604610767547
6900,0.224672373,8.117511353559193E-4,0.20932274517078825,69,0.0037998284387772323
7000,0.22918786600000002,8.1181518722805E-4,0.20938748452311295,70,0.00381860212191351
7100,0.233848578,7.922257123765631E-4,0.2094718821390292,71,0.003768428326131333
7200,0.238272916,8.016899463797514E-4,0.2095764371364588,72,0.0037243250281155196
7300,0.24292270100000002,7.582695313555439E-4,0.2096940439793894,73,0.003507546879602314
7400,0.247488758,7.634555177385066E-4,0.20967417814362435,74,0.003231075775928697
7500,0.25206282,7.579992281202603E-4,0.20966222892527853,75,0.003343212792622871
7600,0.25667322400000003,8.004540010992055E-4,0.20974417185772312,76,0.003478416558049505
7700,0.261251243,7.79433946949133E-4,0.20975234286285818,77,0.003504604470533862
7800,0.265736443,7.858402002924491E-4,0.20978374299431518,78,0.0035639266216665713
7900,0.270113894,8.092898005092564E-4,0.2097660627078462,79,0.0037248774802318674
8000,0.274584233,8.11793676030266E-4,0.20966375994009837,80,0.0037972116147799283
8100,0.279489437,7.673163343925896E-4,0.2095370907602526,81,0.0038657253114669945
8200,0.284032068,6.960180862738652E-4,0.20946955174551857,82,0.003914571153426373
8300,0.28866816700000003,7.370785214507739E-4,0.20955819607916304,83,0.003934345045841147
8400,0.293262099,7.762337872303929E-4,0.20979088745845706,84,0.003810505556940109
8500,0.29787695000000003,7.023469780463121E-4,0.20985327817251487,85,0.003681899998607496
8600,0.302475757,7.024299867820126E-4,0.20997608547511015,86,0.0036987304426469654
8700,0.307077747,7.600066433020674E-4,0.20999616046943298,87,0.003732319689613798
8800,0.311688509,7.438139057821925E-4,0.2100015769563011,88,0.0036400187185525886
8900,0.31687748400000004,7.33446103650028E-4,0.2100259110426355,89,0.00363079403100324
9000,0.321743761,7.636536216240164E-4,0.2101495583723657,90,0.0035975219425266928
9100,0.32659304100000003,7.400535238099005E-4,0.21019068378853348,91,0.003550169354222322
9200,0.331646351,7.060613567687426E-4,0.21015257378514365,92,0.003572599590183889
9300,0.336371654,7.158019425843065E-4,0.21018388044160097,93,0.0036183442875546267
9400,0.341073326,7.054401070678196E-4,0.2101692659217712,94,0.0035300415352558846
9500,0.34584146800000004,7.190788529034812E-4,0.2102340127323045,95,0.003310550158243665
9600,0.350796787,6.892558559566895E-4,0.21039035930006258,96,0.0030639734838023964
9700,0.355597953,7.065725632596516E-4,0.21034997717035206,97,0.0030460302918367465
9800,0.36054560700000005,6.881704768888163E-4,0.2103948363869867,98,0.003092927629497871
9900,0.365316507,7.077150153682384E-4,0.21038810532696164,99,0.0033538790944573306
10000,0.37008855500000004,7.294002693228815E-4,0.21038442110330693,100,0.0032536210277921813
