NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.001914883,0.17844722326472298,0.0,1,0.4309758804329838
200,0.004762357,0.1606387498073081,7.372564191149374E-4,2,0.405110248821172
300,0.007479244,0.1371711695704139,7.372564191149374E-4,3,0.3564698556980223
400,0.01022515,0.1117764581561218,7.372564191149374E-4,4,0.32959859587076085
500,0.013004792000000001,0.09918187001626276,0.03388351494161251,5,0.22729591239129815
600,0.015126746000000002,0.08012904372294329,0.03783635970273904,6,0.19899477976757407
700,0.016582298000000002,0.0817435417826139,0.048551807864318106,7,0.16520072219133117
800,0.018142676,0.05647380479965722,0.07041361067178072,8,0.12705763879776938
900,0.019694362,0.04716867448047463,0.08220568590502694,9,0.1186027971169593
1000,0.021426146,0.04049475795622778,0.09270821058322963,10,0.1053107118225429
1100,0.023250708000000002,0.029293595639322014,0.0973218590113295,11,0.09929083800221902
1200,0.025212725000000002,0.026547379102275056,0.11102360637504635,12,0.0843309102786967
1300,0.027128421000000003,0.02111624199094687,0.1201769577168184,13,0.07732763371542378
1400,0.029285669,0.018820516798487844,0.13187978660850308,14,0.06778706681071954
1500,0.031821563000000004,0.014171953650746055,0.13960953618650992,15,0.060317898227713274
1600,0.034167321,0.012575266314363962,0.14552658596736712,16,0.052237571903645585
1700,0.036437305,0.010802255045955618,0.1531163306155659,17,0.04586099022907461
1800,0.038868065,0.008709348529943196,0.15897672369336407,18,0.04009737071089507
1900,0.041254087,0.006744950861173671,0.1616338948719779,19,0.03740988053912002
2000,0.043606753000000005,0.007041616587594272,0.16859565930422404,20,0.03289222362932297
2100,0.046067818,0.004625225402781047,0.1728218327743297,21,0.02968337246150925
2200,0.048739892,0.004094199218948903,0.17493676568573277,22,0.02820320835805967
2300,0.051538576,0.003776709925564235,0.17965904275532596,23,0.0256354646358989
2400,0.054765844,0.0033107505114546346,0.1826986183427275,24,0.02253135832547163
2500,0.058289547000000004,0.0026564696809637397,0.18595290648449767,25,0.020435375717528317
2600,0.062026901,0.0023929969150603436,0.18841312611640282,26,0.018496373324012397
2700,0.065902632,0.002161463214310916,0.19051241266707916,27,0.016967138644566414
2800,0.070488463,0.0019451986192236344,0.19199599119678207,28,0.015149831835693899
2900,0.07449467800000001,0.0017612630779572386,0.19369657441115146,29,0.01372753423032681
3000,0.078664513,0.0016311077355598944,0.1951217622873971,30,0.012635652823054287
3100,0.082861683,0.0015990173627985838,0.1964436965871288,31,0.011653216860051349
3200,0.087386105,0.0015297461785377048,0.1974115983984596,32,0.010949437250363632
3300,0.09163961200000001,0.0011119856237532908,0.19866461277238423,33,0.010495350131562478
3400,0.095968417,0.001026193272450591,0.1998716203719863,34,0.009661419568976379
3500,0.10054154700000001,0.001123971594055938,0.20017090946252664,35,0.009636164931778046
3600,0.105227755,0.0010552012694433326,0.20136633543578422,36,0.008794713476860866
3700,0.10960958700000001,0.0010198207597105944,0.20230199253043044,37,0.008485072603831757
3800,0.114167977,9.516226167624223E-4,0.20278917880861438,38,0.008181583588161467
3900,0.118883229,8.98757266198958E-4,0.20342657083482382,39,0.007719623110282108
4000,0.12423613100000001,8.974162235492959E-4,0.20359227306498076,40,0.007515551607483813
4100,0.12903530700000002,7.880273639080226E-4,0.2040717700714907,41,0.007366166795229957
4200,0.133744983,7.530274298627776E-4,0.20447124184663093,42,0.0068549748979978885
4300,0.138879589,7.529638581299897E-4,0.20484684709042777,43,0.006736819144313385
4400,0.14386453000000002,7.46272908697952E-4,0.2050438774739273,44,0.00643354874611519
