NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.002689078,0.22104662232946895,0.0,1,0.4731196145687724
300,0.004121749,0.1447264000549447,0.0,2,0.40317234546537223
500,0.005412713,0.13511695982504957,0.0056989579481356994,3,0.30198963209204516
700,0.0069517630000000006,0.07814996981876383,0.04686084512487399,4,0.15054312301526285
900,0.008527679,0.05307627824599668,0.056683498877672024,5,0.13623817287432716
1100,0.010142855000000001,0.03864613823978122,0.08488203255988777,6,0.11307172070518502
1300,0.011239849000000001,0.02656755247177666,0.11209398969873349,7,0.08891545825311217
1500,0.012037448000000001,0.023364506762404123,0.11859176558058815,8,0.07202449739864221
1700,0.012720984000000001,0.017865490345264037,0.1343508812158592,9,0.060353514900641114
1900,0.013584094000000001,0.012330683749527812,0.1503428253010316,10,0.04796914004976314
2100,0.014510072,0.011485588745807452,0.1584448515858229,11,0.04273592627673746
2300,0.015493841000000001,0.01078387825185199,0.1663209358484647,12,0.037376132600395136
2500,0.016565535000000003,0.007867023511189399,0.17607279975325718,13,0.029473519498618494
2700,0.017701121,0.0027248168760658767,0.18205785383686307,14,0.02469524524082079
2900,0.018956874000000002,0.0022586760987063385,0.18653562314246322,15,0.02156111456434565
3100,0.020128911000000003,0.0019624721193647414,0.1899725689342893,16,0.018951301672852965
3300,0.021388153,0.0016939374396597845,0.1936005100353416,17,0.016011556273613985
3500,0.022907511000000002,0.0015360627337336929,0.19598897954241495,18,0.014762537527464674
3700,0.024313097000000002,0.0014986379875470163,0.1973496059926125,19,0.013552630224635896
3900,0.025760292,0.0013144508571871758,0.19880739996378421,20,0.012645763228149708
4100,0.027271145,0.0013050572486968052,0.19942108324333993,21,0.012242719127663643
4300,0.028886172,0.0012675077551079952,0.20085277153828726,22,0.01145622347485411
4500,0.030681381,0.001270487156392698,0.202408452496211,23,0.01010039127392767
4700,0.032339780000000005,0.0011343659867432262,0.20297374505109556,24,0.009803017177150186
4900,0.034064365,0.001176725401707712,0.20439297653525668,25,0.008683818288559212
5100,0.035931826,0.0010352771920628247,0.20576710133239334,26,0.007379684327722759
5300,0.037708081000000004,0.001117674880190038,0.20609935465185159,27,0.007152703506745624
5500,0.039582102,0.0011671260547931274,0.20633915688813323,28,0.007088756753605065
5700,0.041530782,0.001146259561097664,0.2067888373161725,29,0.00654769369890508
5900,0.043544731,0.0011517755613725236,0.20702959782483332,30,0.006353989964550302
6100,0.045439214000000006,0.0011531462695176633,0.20720739954119805,31,0.006339105709689492
6300,0.047569890000000004,0.0012576820787184608,0.2077610829735976,32,0.005993468998830205
6500,0.049614841,0.0012721055215490667,0.2078939457751528,33,0.005961509845456752
6700,0.051727757000000006,0.001270819602199961,0.20804086159790225,34,0.005904773376009567
6900,0.053792798,0.0012472374501633114,0.2082316982849562,35,0.005738740834311898
7100,0.056032836,0.001242613776858655,0.20831580270608666,36,0.0056907697518959735
7300,0.058191221,0.0012723553676734195,0.20843063167618467,37,0.005640493783396089
7500,0.060567786000000005,0.0012725232749639943,0.2085028776166023,38,0.005591969593212816
7700,0.062760224,0.0012653014870263781,0.20881800775111847,39,0.005193296100057362
7900,0.065005874,0.0012218376362127528,0.20889501374348549,40,0.005124293808065614
8100,0.067445187,0.0012187624278798394,0.20894794082278495,41,0.0050807722449701595
8300,0.06977747100000001,0.0012175087241367273,0.20900136511651796,42,0.005041856270821529
8500,0.07197305200000001,0.0012044746349294739,0.2090002980703862,43,0.004953492756814776
8700,0.07418406000000001,0.0012640971466991522,0.20904229189756365,44,0.004908622284133546
8900,0.076403555,0.0012517645648354044,0.20929258096271897,45,0.004705262197333966
9100,0.078651607,0.001248411614169336,0.20929968162155047,46,0.004697852344009481
9300,0.080916228,0.0012389083142004985,0.2093139008137986,47,0.004696757305396866
9500,0.083232806,0.0012380583500591214,0.20931368426412622,48,0.004695168922489031
9700,0.08546392500000001,0.001242124608921872,0.20936363335390124,49,0.004711058748683684
9900,0.087750666,0.0012361703630886967,0.20947295133327662,50,0.0045803141129539945
10100,0.08997413,0.00121568855555928,0.2094886038843483,51,0.004584244873910305
