NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.0028978100000000002,0.19201268370595534,0.0,1,0.4896502048535637
300,0.0046631020000000006,0.1867563062036243,3.2613361538590965E-4,2,0.39474445288326065
500,0.006389753000000001,0.1413743440611783,0.0047404115263958895,3,0.36401163579410867
700,0.008140053000000001,0.11178648307351419,0.017135964113230276,4,0.2826483738329286
900,0.00949958,0.06733247676631256,0.023246138000506917,5,0.2512677468851912
1100,0.010390505000000001,0.0754358000990417,0.025450566289976502,6,0.2410162916795546
1300,0.011424452,0.059045111306746834,0.03442647343831903,7,0.20716700939475244
1500,0.01252988,0.051254988265244966,0.060696553992103344,8,0.158789697773073
1700,0.013620132,0.029380525068690228,0.08456499226379993,9,0.10678984459198504
1900,0.014658156,0.022207774470146522,0.10822385885989139,10,0.0902145147094598
2100,0.015797305,0.015508958961049275,0.12301244378583537,11,0.07343990615630734
2300,0.017162176,0.01115535410907114,0.13254258582098474,12,0.06314810193871136
2500,0.018453629000000003,0.009140853547275106,0.14429034372434527,13,0.05245069489655001
2700,0.019750995,0.006526211960439996,0.15789417401954353,14,0.04252296108359288
2900,0.021218769000000002,0.0050370591187138755,0.16536419293776913,15,0.0361571354241026
3100,0.022720847000000002,0.004193596262221746,0.17883540255199576,16,0.026645254220287476
3300,0.024209492000000003,0.0029388853505148372,0.18514426350137142,17,0.021040224432437565
3500,0.025741144,0.0025628791925119804,0.19083142557037122,18,0.01742839070422852
3700,0.02733162,0.0020470087086597198,0.19380089216076368,19,0.0149412441315513
3900,0.029129894000000003,0.0017233062497134374,0.19750103868625088,20,0.012322890166066027
4100,0.031113992000000004,0.0014327522812132493,0.19946438988987636,21,0.011334779322745122
4300,0.033401654,0.0012338286256835939,0.2016040875789612,22,0.00993463140819358
4500,0.035391667,0.0011636508235914826,0.20364180516741104,23,0.008444534758429989
4700,0.037505694,0.001149284013220242,0.2045791069262965,24,0.007682180796147758
4900,0.039641424,0.0010740888694319797,0.2052214667647384,25,0.007245822391715109
5100,0.041935839,0.0012239491988364159,0.2058741686601579,26,0.006856668089649687
5300,0.044259532000000004,0.0011698606662160595,0.20628151933567015,27,0.006624079231111839
5500,0.046640423,0.0011608662202273465,0.2066855154624856,28,0.006418466282923903
5700,0.049224127000000006,0.0011721184473776135,0.20690573927790507,29,0.0063769368547035915
5900,0.05161194,0.001204320897355031,0.20729465206820716,30,0.006199377477050043
6100,0.054053605000000005,0.001232374421009078,0.20740715758361258,31,0.006151022098869819
6300,0.05645643,0.001195733731481236,0.207783356785652,32,0.005951564453883088
6500,0.058968004000000004,0.0011841099987132374,0.20795629802065743,33,0.005819404416078729
6700,0.061518792,0.0011806476117053597,0.20809901123802488,34,0.005761451689029525
6900,0.06400079,0.00114037679954984,0.20825531259384847,35,0.005633459913938971
7100,0.066716145,0.0011409022493724169,0.20851467644061697,36,0.005395340512981946
7300,0.069240749,0.0011063922883726028,0.2087103003370486,37,0.005155626072755713
7500,0.07177973700000001,0.0011852747920310612,0.20874442878306404,38,0.005114384724935839
7700,0.07430837900000001,0.0011311983455575914,0.20876833154991162,39,0.005146392761437823
7900,0.07672405800000001,0.0011097148470422752,0.2088664274550416,40,0.005107837434227407
8100,0.079255026,0.001110932777298221,0.20887259269069952,41,0.005122372164708776
8300,0.081785228,0.0011208193140317118,0.2090050921262559,42,0.005010401844330991
8500,0.084289243,0.0011280927537676135,0.20907320855098596,43,0.00501489421747546
8700,0.08697402600000001,0.0011816763387587496,0.2091137830627797,44,0.004955010648837248
8900,0.089576449,0.0011726371904542084,0.20918704425729726,45,0.004977610782803991
9100,0.09255371500000001,0.001172980383437075,0.20924055402229036,46,0.0049401827371522
9300,0.095247148,0.0011749518816992252,0.20932002602899613,47,0.004921927452319861
9500,0.09794158600000001,0.0012014654164651463,0.20945070985061054,48,0.004809404882067892
9700,0.100578339,0.0011814239750978083,0.20948902033215117,49,0.004781429064578963
9900,0.103743098,0.0011822686008661919,0.20952004694695783,50,0.004751575472689198
10100,0.10680355500000001,0.0011965787126581814,0.20956110366122455,51,0.004667228498367116
