NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.002732767,0.20142097938519402,0.0,1,0.5246525744269058
300,0.004174943,0.20878914367630177,0.0,2,0.5247499097231266
500,0.0054947170000000005,0.2118990843949771,0.0,3,0.4163648705796911
700,0.006890984,0.13792811321237594,0.0,4,0.30208354867173387
900,0.008568604,0.07696765722803084,0.025075214080888066,5,0.20740810671023407
1100,0.010331204,0.05427215118989815,0.04830429823848943,6,0.1582961666578641
1300,0.012041992000000001,0.05086658993723105,0.06751048798461831,7,0.117539841097103
1500,0.013163259,0.025787175210103843,0.10222588937792099,8,0.08459257774818664
1700,0.013867841,0.015874197221098743,0.11284967480698391,9,0.07541087775725291
1900,0.014660874,0.011556817839567335,0.13043508532048648,10,0.062337775207999865
2100,0.015496475000000001,0.008556540146333393,0.14578998796485562,11,0.051683233833206145
2300,0.016435426,0.007151412476484071,0.15523105181446026,12,0.04434693919192375
2500,0.017330031000000003,0.006182475523735333,0.16433119859785106,13,0.03660180766653904
2700,0.018207531000000002,0.005288785657785874,0.17501122227113475,14,0.030272942470076444
2900,0.019216678,0.00348112768146695,0.18353889264369308,15,0.022163985360170155
3100,0.020604380000000002,0.002548921852863514,0.18955475790361598,16,0.018166382168657784
3300,0.021940574,0.002102030316587979,0.19357140338039278,17,0.015229896238587845
3500,0.023287523,0.0012707246601465784,0.19747922702268003,18,0.01190832752754386
3700,0.024726889000000002,0.0011967721330312525,0.19838500367439543,19,0.011247011072522543
3900,0.026188817000000003,0.0010516773883939858,0.19985527598364095,20,0.010471328618830461
4100,0.027724318,9.205271932964431E-4,0.20159266604211848,21,0.00912590301729359
4300,0.029378128000000003,0.0010198181091812457,0.20247779811008856,22,0.00862999997517984
4500,0.031009416,9.837044571625742E-4,0.20326963756514235,23,0.008149351911280644
4700,0.032829776000000005,0.001089775952756813,0.2043470511518524,24,0.007405310960987978
4900,0.034577384,9.794766642159645E-4,0.20486685435225652,25,0.0071691196023352805
5100,0.036389663,9.67170847348839E-4,0.20528901962303603,26,0.00693899962036721
5300,0.038259068,9.510592938000222E-4,0.2058194193889352,27,0.006525535009785625
5500,0.040068524,9.741089284965757E-4,0.20665543502925285,28,0.005961840725945789
5700,0.042050339000000006,0.0010100312636858492,0.2068979360503562,29,0.005967314398375698
5900,0.043970425,9.652871336145311E-4,0.20715958215429914,30,0.005814304870953794
6100,0.046034788,9.609236677298505E-4,0.20738038009955848,31,0.005872671029205868
6300,0.048044283,9.680633159470429E-4,0.2076605941028519,32,0.005664860937971105
6500,0.050071571,9.497467617031677E-4,0.20777925630278402,33,0.005651700267938811
6700,0.052076931,9.623298812955724E-4,0.2078840714733736,34,0.005648035683305401
6900,0.054298289000000007,0.00100386895350952,0.20807512705194992,35,0.005495316137521324
7100,0.056381166,0.001051917143927976,0.20816374289029912,36,0.005404073837678153
7300,0.05848136600000001,0.001180668198832183,0.2083223139678862,37,0.005359344653021872
7500,0.060644827000000005,0.00123293054160087,0.208386653176579,38,0.005273569566788797
7700,0.062779453,0.0012951869636603991,0.20866160248927698,39,0.0051634494566725935
7900,0.06507183600000001,0.001282818199832366,0.20880074174352786,40,0.0050951413851770735
8100,0.067253751,0.0012136422661556464,0.20889173736599356,41,0.005074458451635513
8300,0.06948694000000001,0.001266946559260445,0.2089337430142797,42,0.004976685535501564
8500,0.071834575,0.0012627019340846497,0.2090015670091604,43,0.004992399599019731
8700,0.074045126,0.0012619772835729154,0.20904479845221396,44,0.004980070557514485
8900,0.07630382000000001,0.0012958036289762648,0.20908422445457037,45,0.004951896262938303
9100,0.078539222,0.0012962197601398614,0.20913782427680655,46,0.004941329982684578
9300,0.08072783500000001,0.001297325487610184,0.20916571930764646,47,0.004928099119389771
9500,0.082930874,0.001299190061251692,0.20921244714083587,48,0.004910879569184722
9700,0.08512388700000001,0.0012726635802831053,0.20924185586067023,49,0.004883169936099914
9900,0.08740607800000001,0.001271212254153034,0.20931532670625777,50,0.004769767983669893
10100,0.08978501800000001,0.001267396818529827,0.20936999416681826,51,0.004686531695327278
