NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100,0.001978058,0.16631099277092995,0.0,1,0.46791540473561055
200,0.005407187,0.15218417576966817,0.0,2,0.46183652522102203
300,0.007235095,0.14390982608143418,0.010608054549468079,3,0.32822384054756015
400,0.008668608000000001,0.10903076408496001,0.010608054549468079,4,0.2811641775750974
500,0.010393228000000001,0.10802871464693703,0.014846091020339274,5,0.2501807088216683
600,0.011810425000000001,0.08317073960061952,0.016034798510476296,6,0.24278243037710745
700,0.013361752000000001,0.08004414924669435,0.016034798510476296,7,0.24422227824846723
800,0.015048275000000002,0.07328960032109141,0.03676578471413485,8,0.21457989179147713
900,0.016671316000000002,0.046300385782456946,0.040266131051124754,9,0.2001627023263663
1000,0.018313541000000003,0.044637048128706794,0.05012759432176065,10,0.18081540332072069
1100,0.019883406000000003,0.03728916340938124,0.0611358638423861,11,0.15915412396018275
1200,0.021644417000000003,0.03138176545593465,0.07539563519572755,12,0.13875455645080234
1300,0.023413898000000002,0.028718179645062084,0.09218644289450832,13,0.12993324811425974
1400,0.025194081,0.02393674787667093,0.10593201141009577,14,0.10106840611926488
1500,0.027109454,0.018564471226815635,0.12143363931688254,15,0.0833101349625306
1600,0.028986670000000003,0.016262713165025457,0.12792063794550565,16,0.08055253315562697
1700,0.031378594,0.015110430968291174,0.13405718887505008,17,0.07220121905577571
1800,0.033357295,0.013752559426112225,0.13922014989987083,18,0.06735221843611257
1900,0.035643312,0.010442582139988266,0.1436584899352354,19,0.059038153715009666
2000,0.037929158000000004,0.009712457894575215,0.14836250089449238,20,0.05418721178191496
2100,0.040364487000000004,0.0065346728557650795,0.1528068177150059,21,0.04720362890595161
2200,0.042850826,0.0055510124822943565,0.1605655506943768,22,0.03981020205046276
2300,0.045310095,0.004808641969346523,0.16800967983226078,23,0.03641648727236101
2400,0.048027301,0.004129791837966174,0.17317621103253603,24,0.031281839524433606
2500,0.050777554,0.00368971319538871,0.17726660531390512,25,0.028007124473577887
2600,0.053628079,0.003433546163997921,0.18093437205285934,26,0.025891078449216707
2700,0.056664054000000005,0.0029151883948533817,0.1845703459943423,27,0.02336964308307434
2800,0.059949641000000005,0.002685421987079461,0.18683206978412412,28,0.021744729566143612
2900,0.062995547,0.002145447134102201,0.18962567739485386,29,0.019349647967922996
3000,0.066470155,0.0017027304017560006,0.1920672064164272,30,0.017409684589122974
3100,0.070170141,0.00147462221122196,0.19370292093651756,31,0.015961140001046984
3200,0.07418625100000001,0.0013253327125725184,0.1951880626016523,32,0.014937561379549661
3300,0.078097783,0.0012007557190904675,0.1966092103052496,33,0.01396285870206328
3400,0.082362878,0.0011490988289657447,0.19749634548966208,34,0.012409217803720913
